time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1998-12-17T01:49:02.370Z,36.037,-117.583,-1.345,3.23,ml,0,123.3,0.09516,0.145,ci,ci9073744,2016-02-13T05:57:36.770Z,"31km ENE of Little Lake, California",earthquake,,0.434,,105,reviewed,ci,ci
1998-12-16T19:18:50.000Z,39.72,-110.74,2.3,2.8,ml,,,,,us,usp0008zqh,2014-11-07T01:06:39.585Z,"Utah",earthquake,,,,,reviewed,slc,slc
1998-12-16T14:52:36.320Z,31.795,-116.65,5.471,2.55,mc,0,304.2,0.8827,0.202,ci,ci7117663,2016-02-13T11:01:09.773Z,"9km SSW of Ensenada, B.C., MX",earthquake,,,,9,reviewed,ci,ci
1998-12-15T22:30:12.070Z,46.7515,-122.814,0.156,2.9,md,8,96,0.1118,0.07,uw,uw10468793,2016-07-23T18:47:48.300Z,"Washington",explosion,0.396,0.66,0.05,4,reviewed,uw,uw
1998-12-14T23:26:01.820Z,34.014,-116.324,8.626,2.59,ml,0,37.5,,0.201,ci,ci9073663,2016-02-13T08:32:51.540Z,"14km S of Joshua Tree, California",earthquake,,1.129,,102,reviewed,ci,ci
1998-12-14T22:05:10.330Z,39.6575,-120.395,0.096,2.76,md,28,218,0.691,0.06,nc,nc30209463,2016-12-29T13:55:30.005Z,"Northern California",earthquake,0.52,1.63,0.16,33,reviewed,nc,nc
1998-12-14T21:40:37.470Z,36.293,-115.32,5,2.9,ml,,,,0.55,us,usp0008zmr,2014-11-07T01:06:39.250Z,"Las Vegas urban area, Nevada",earthquake,,,,,reviewed,us,us
1998-12-14T13:59:16.040Z,36.5868333,-121.1811667,3.257,2.5,md,50,34,0.01441,0.05,nc,nc30209399,2016-12-29T13:54:00.910Z,"Central California",earthquake,0.11,0.24,0.18,48,reviewed,nc,nc
1998-12-14T11:51:50.460Z,37.5165,-118.7828333,3.051,2.95,md,13,255,0.164,0.03,nc,nc30209388,2016-12-29T13:53:14.554Z,"Central California",earthquake,0.94,2.21,0.08,21,reviewed,nc,nc
1998-12-14T11:43:51.250Z,37.5175,-118.7793333,3.241,3.07,md,13,244,0.1631,0.03,nc,nc30209387,2016-12-29T13:53:11.205Z,"Central California",earthquake,0.91,2.53,0.06,24,reviewed,nc,nc
1998-12-14T08:24:58.010Z,37.5258333,-118.8216667,4.621,2.64,md,11,242,0.1405,0.02,nc,nc30209344,2016-12-29T13:52:44.666Z,"Central California",earthquake,1.02,1.93,0.16,18,reviewed,nc,nc
1998-12-14T06:18:05.920Z,37.5258333,-118.8168333,4.021,3.14,md,12,243,0.1432,0.02,nc,nc30209340,2016-12-29T13:52:31.636Z,"Central California",earthquake,0.78,2.38,0.08,24,reviewed,nc,nc
1998-12-14T05:54:09.500Z,37.5296667,-118.8105,4.621,4.03,md,12,207,0.145,0.03,nc,nc30209339,2016-12-29T13:52:24.460Z,"Central California",earthquake,1.01,1.59,0.07,99,reviewed,nc,nc
1998-12-14T05:13:04.320Z,32.011,-115.731,5.699,2.6,mc,0,246.2,0.6365,0.309,ci,ci9073583,2016-02-13T03:30:21.466Z,"58km WSW of Alberto Oviedo Mota, B.C., MX",earthquake,,,,9,reviewed,ci,ci
1998-12-14T04:15:49.090Z,37.5315,-118.8295,-1.479,3.33,ml,11,237,0.1324,0.06,nc,nc30209457,2016-12-29T13:52:11.882Z,"Central California",earthquake,1.08,8.55,,2,reviewed,nc,nc
1998-12-14T04:14:03.210Z,37.5328333,-118.8126667,4.501,3.8,mw,12,206,0.1423,0.02,nc,nc30209335,2016-12-29T13:52:05.970Z,"Central California",earthquake,0.77,1.78,,3,reviewed,nc,nc
1998-12-14T00:58:13.260Z,31.724,-115.995,5.842,2.98,mc,0,306.1,0.9226,0.276,ci,ci9073562,2016-02-12T22:24:35.447Z,"54km E of Maneadero, B.C., MX",earthquake,,,,16,reviewed,ci,ci
1998-12-13T23:09:50.830Z,33.955,-118.318,10.909,2.55,ml,0,114.1,,0.241,ci,ci9073555,2016-02-11T21:09:30.678Z,"3km E of Inglewood, California",earthquake,,0.976,,121,reviewed,ci,ci
1998-12-13T21:14:43.200Z,37.9086667,-121.9931667,11.38,3.03,md,64,34,0.04414,0.09,nc,nc30209294,2016-12-29T13:51:08.560Z,"San Francisco Bay area, California",earthquake,0.15,0.24,0.11,62,reviewed,nc,nc
1998-12-13T20:38:56.040Z,31.983,-115.743,5.62,2.74,mc,0,310.5,0.6646,0.299,ci,ci9073547,2016-02-13T00:57:10.443Z,"60km WSW of Alberto Oviedo Mota, B.C., MX",earthquake,,,,12,reviewed,ci,ci
1998-12-13T08:11:02.380Z,32.722,-115.918,2.469,2.76,ml,0,69,0.0746,0.337,ci,ci9073493,2016-02-12T09:33:40.751Z,"7km ESE of Ocotillo, California",earthquake,,0.281,,89,reviewed,ci,ci
1998-12-13T07:39:42.300Z,32.724,-115.92,6.639,3.68,ml,0,67.4,,0.288,ci,ci9073500,2016-02-11T23:43:41.607Z,"7km E of Ocotillo, California",earthquake,,1.753,,145,reviewed,ci,ci
1998-12-13T07:30:50.160Z,31.723,-115.976,5.842,2.67,mc,0,315.6,0.9227,0.187,ci,ci9073488,2016-02-13T03:30:17.773Z,"56km E of Maneadero, B.C., MX",earthquake,,,,5,reviewed,ci,ci
1998-12-12T16:00:14.760Z,36.4698333,-121.0398333,1.944,2.85,md,55,58,0.04775,0.08,nc,nc30209101,2016-12-29T13:47:12.200Z,"Central California",earthquake,0.15,0.42,0.12,48,reviewed,nc,nc
1998-12-12T15:03:11.040Z,34.01,-116.774,18.807,3.54,ml,0,22.5,,0.199,ci,ci9073452,2016-02-12T22:24:29.668Z,"10km N of Cabazon, California",earthquake,,0.303,,184,reviewed,ci,ci
1998-12-12T06:25:12.000Z,39.7,-118.01,14.4,3.5,ml,,,,,us,usp0008zgq,2014-11-07T01:06:38.658Z,"Nevada",earthquake,,,,,reviewed,ren,us
1998-12-12T01:41:32.000Z,37.51,-116.29,0,4.1,mb,,,,,us,usp0008zgf,2014-11-07T01:06:38.637Z,"Nevada",earthquake,,,,3,reviewed,ren,us
1998-12-11T22:20:12.670Z,38.7786667,-122.7485,0.251,2.58,md,30,35,0.02523,0.05,nc,nc30209036,2016-12-29T13:45:16.410Z,"Northern California",earthquake,0.15,0.36,0.14,31,reviewed,nc,nc
1998-12-11T16:37:24.930Z,34.343,-120.735,5.415,3.31,ml,0,253.3,,0.292,ci,ci9073311,2016-02-13T03:30:12.941Z,"42km SW of Lompoc, California",earthquake,,,,76,reviewed,ci,ci
1998-12-11T09:01:31.070Z,32.529,-115.242,5.997,2.6,ml,0,190.1,0.3015,0.235,ci,ci9073272,2016-02-13T00:57:01.612Z,"11km ESE of Puebla, B.C., MX",earthquake,,,,40,reviewed,ci,ci
1998-12-11T08:42:44.380Z,32.506,-115.237,6.015,2.93,ml,0,196.2,0.315,0.333,ci,ci9073296,2016-02-13T08:32:44.981Z,"13km ESE of Puebla, B.C., MX",earthquake,,,,63,reviewed,ci,ci
